Position,Artists,Title,Score
1,unfa,Bodacious,122
2,J.Ruegg,End of the Desert,88
3,Lilith 93,C18H25NO,83
4,] Peter:H [,WHH GT 18 21 Die Frequenzbauliche Dominante,61
5,Rob van den Berg,The Beginning,58
6,spurkopf,Kaskade Zwo,57
7,Lorenzo Sutton,Blue Star,52
8,Carl Georg Biermann,Where Your Feet Could Never Take You,43
9,Ladislav Trojak,ELE,42
10,Georg Berger,Westhoven by Georg Berger,28
11,Neal Sky,The Last Minute,25
12,cubic elements,peaceful transmission,23
13,Protein Kyn,Madinrosko,22
14,Gideon van der Kolf,Dexed'ers Laboratory,22
15,Cullen Davis,Blu Ridge,9
